# Time-averaged data for fix 3
# TimeStep c_msd_O[4] c_msd_H[4] v_fitslope_O v_fitslope_H
43000 6158.27 59228.1 62.8522 592.195
43100 6144.31 59032.9 62.8756 592.644
43200 6179.08 59332.5 62.8979 593.074
43300 6193.71 59478.3 62.9209 593.508
43400 6188.96 59462.2 62.9412 593.914
43500 6248.66 60023.4 62.9631 594.334
43600 6251.04 60068.3 62.9867 594.769
43700 6208.88 59697.9 63.0051 595.155
43800 6195.31 59618.1 63.0179 595.488
43900 6220.05 59889.4 63.0292 595.81
44000 6240.51 60074.5 63.0414 596.139
44100 6286.74 60527.7 63.0551 596.479
44200 6312.76 60793.1 63.0702 596.831
44300 6328.81 60962.1 63.0861 597.191
44400 6342.05 61078.1 63.0996 597.524
44500 6454.34 62109.8 63.1196 597.916
44600 6469.43 62221.2 63.1441 598.342
44700 6500.64 62483.4 63.1674 598.752
44800 6553.66 62942.6 63.1941 599.188
44900 6580.24 63186.6 63.2222 599.63
45000 6640.29 63744.9 63.2531 600.097
45100 6655.58 63915.6 63.2846 600.569
45200 6680.02 64131.3 63.3164 601.041
45300 6691.18 64236.8 63.3473 601.501
45400 6768.78 64967.2 63.3805 601.981
45500 6875.65 65925.5 63.4215 602.53
45600 6951.37 66651.4 63.4686 603.132
45700 7033.97 67437.9 63.5209 603.782
45800 7106.41 68133.3 63.5796 604.49
45900 7154.01 68631.7 63.6401 605.217
46000 7133.09 68454.3 63.7001 605.94
46100 7149.1 68610.5 63.7568 606.632
46200 7197.1 69078 63.8132 607.319
46300 7278.86 69860.5 63.8758 608.063
46400 7317.5 70205.2 63.9402 608.823
46500 7364.68 70623.3 64.0063 609.593
46600 7402.03 70962.4 64.0739 610.374
46700 7480.46 71700.2 64.1448 611.184
46800 7531.04 72185.9 64.2188 612.021
46900 7566.92 72559.9 64.2947 612.876
47000 7615.12 73027.9 64.3705 613.731
47100 7684.3 73694.2 64.4508 614.627
47200 7716.18 74030.8 64.5321 615.533
47300 7751.33 74339.4 64.6142 616.446
47400 7776.12 74536.3 64.6953 617.344
47500 7875.92 75449.6 64.7798 618.269
47600 7976.48 76424.9 64.8711 619.256
47700 8061.97 77257.4 64.9682 620.3
47800 8129.62 77901.8 65.0696 621.383
47900 8151.63 78143.2 65.1719 622.474
48000 8144.49 78127.1 65.2716 623.543
48100 8136.76 78101.5 65.3672 624.577
48200 8100.59 77783 65.4577 625.564
48300 8122.22 77982.4 65.5454 626.523
48400 8128.38 78059.9 65.6315 627.466
48500 8046.94 77270.2 65.7124 628.357
48600 7970.79 76583 65.7815 629.137
48700 7962.51 76528.1 65.8464 629.877
48800 7926.39 76231.6 65.9058 630.566
48900 7862.06 75653 65.9588 631.198
49000 7771.52 74786.9 66.0022 631.736
49100 7738.45 74440.9 66.0386 632.205
49200 7623.77 73377.1 66.0666 632.591
49300 7502.84 72247.4 66.0815 632.854
49400 7424.95 71538.3 66.0871 633.03
49500 7411.77 71428.6 66.0868 633.15
49600 7401.05 71310.1 66.0849 633.252
49700 7383.67 71154.6 66.0793 633.317
49800 7394.03 71244.5 66.0732 633.377
49900 7354.59 70860.4 66.0636 633.4
50000 7253.85 69913.6 66.0462 633.349
50100 7155.51 69027.1 66.019 633.204
50200 7083.77 68370.8 65.984 632.988
50300 7013.48 67729.9 65.9416 632.702
50400 6961.89 67260.4 65.8935 632.362
50500 6936.69 67051.2 65.8412 631.983
50600 6900.66 66666.9 65.7859 631.573
50700 6831.76 65953.5 65.7254 631.108
50800 6751.62 65159.3 65.6574 630.567
50900 6689.13 64596.3 65.5835 629.968
51000 6674 64487.8 65.5056 629.332
51100 6724.98 64998.1 65.429 628.71
51200 6722.69 64982.9 65.3543 628.106
51300 6694.36 64734.3 65.2769 627.476
51400 6668.88 64518.1 65.1968 626.82
51500 6585.86 63751.8 65.112 626.121
51600 6489.37 62842 65.0196 625.349
51700 6429.4 62289.7 64.9208 624.516
51800 6377.11 61784.4 64.8172 623.636
51900 6360.11 61625.3 64.7104 622.724
52000 6296.56 61030.3 64.6014 621.791
52100 6201.49 60144.5 64.4849 620.785
52200 6175.27 59892.1 64.3642 619.739
52300 6115.69 59354.1 64.2402 618.662
52400 6117.62 59382.8 64.1141 617.564
52500 6113.49 59374.6 63.9887 616.473
52600 6033.07 58631.8 63.8592 615.344
52700 5989.48 58229.4 63.7253 614.173
52800 5978.08 58114.3 63.5899 612.987
52900 5959.46 57907.9 63.4528 611.782
53000 5994.02 58226.3 63.3177 610.593
53100 5973.15 58076.1 63.1822 609.4
53200 5962.31 57981.9 63.047 608.211
53300 5926.01 57645 62.9089 606.995
53400 5883.99 57215.7 62.7695 605.763
53500 5814.94 56524.5 62.625 604.48
53600 5811.38 56451.9 62.4787 603.175
53700 5742.03 55788.7 62.3305 601.849
53800 5702.03 55423.6 62.178 600.482
53900 5612.82 54577.6 62.0215 599.077
54000 5550.56 53980.9 61.8598 597.621
54100 5479.08 53345.3 61.6943 596.129
54200 5443.9 53072 61.5251 594.605
54300 5418.32 52851.6 61.3552 593.076
54400 5396.52 52666.4 61.1835 591.53
54500 5390.16 52629.5 61.012 589.987
54600 5388.79 52627.2 60.8406 588.444
54700 5394.69 52699.8 60.67 586.909
54800 5405.58 52804.6 60.5009 585.388
54900 5422.61 52988.3 60.3333 583.88
55000 5441.76 53197.9 60.1674 582.39
55100 5461.62 53366.9 60.0039 580.921
55200 5487.23 53577.1 59.8422 579.466
55300 5547.02 54120.5 59.6842 578.044
55400 5584.04 54453.5 59.53 576.654
55500 5635.91 54953.4 59.3792 575.296
55600 5662.83 55217.9 59.2314 573.967
55700 5720.93 55744.3 59.0875 572.672
55800 5788.86 56359 58.9479 571.415
55900 5897.29 57389.9 58.8141 570.212
56000 5961.21 57991.6 58.6872 569.073
56100 6046.03 58801.1 58.5648 567.975
56200 6068.14 59031.1 58.4463 566.915
56300 6113.01 59462.5 58.3302 565.878
56400 6186.62 60192.7 58.2179 564.875
56500 6232.52 60629.6 58.1103 563.92
56600 6298.84 61256.9 58.0056 562.99
56700 6324.81 61501 57.904 562.088
56800 6408.94 62268.2 57.8057 561.216
56900 6495.81 63062 57.7133 560.397
57000 6583.06 63902.7 57.6269 559.633
57100 6626.52 64348 57.5435 558.898
57200 6747.81 65517.4 57.4655 558.216
57300 6812.61 66154.5 57.3938 557.593
57400 6874.51 66762.1 57.3253 557.003
57500 6919.89 67221.5 57.2599 556.441
57600 6948.81 67512.9 57.196 555.895
57700 7031.68 68297 57.1362 555.387
57800 7062.15 68582.9 57.0784 554.897
57900 7108.09 69047.6 57.0235 554.435
58000 7185.22 69789.8 56.9711 553.996
58100 7260.04 70523.4 56.924 553.608
58200 7262.84 70578.4 56.878 553.232
58300 7318.01 71120.9 56.8331 552.866
58400 7349.1 71421.9 56.7911 552.527
58500 7392.88 71894.4 56.7497 552.196
58600 7468.02 72664.2 56.712 551.903
58700 7481.08 72800.2 56.6758 551.625
58800 7530.52 73298.1 56.6418 551.367
58900 7519.97 73240.2 56.6076 551.109
59000 7538.44 73442.6 56.573 550.849
59100 7582.01 73871.2 56.5395 550.6
59200 7690.98 74903.6 56.5104 550.391
59300 7803.49 75989.8 56.4872 550.238
59400 7935.16 77231.5 56.4705 550.146
59500 8031.65 78166.2 56.4597 550.11
59600 8087.13 78728.8 56.4525 550.107
59700 8157.35 79422.7 56.4478 550.131
59800 8230.54 80146.7 56.4464 550.186
59900 8326.51 81079.6 56.4495 550.285
60000 8420.47 81952 56.4567 550.421
60100 8516.17 82841.9 56.4685 550.6
60200 8560.86 83259.9 56.4828 550.799
60300 8704.26 84663.6 56.5021 551.048
60400 8799.92 85601.4 56.5269 551.349
60500 8866.18 86237.4 56.555 551.682
60600 8986.04 87415.2 56.5875 552.056
60700 9017.95 87776 56.6228 552.46
60800 9075.49 88348.7 56.6589 552.873
60900 9141.94 89014.3 56.6976 553.311
61000 9105.89 88685.6 56.7358 553.744
61100 9183.42 89454.9 56.7737 554.175
61200 9242.39 90082.5 56.8139 554.63
61300 9329.33 90956 56.8575 555.12
61400 9427.19 91939.1 56.9042 555.641
61500 9565.86 93334.3 56.9567 556.219
61600 9683.53 94516.8 57.015 556.856
61700 9818.52 95850.7 57.0782 557.54
61800 10037.1 97965.3 57.1496 558.305
61900 10209.3 99616 57.231 559.164
62000 10330.6 100839 57.3178 560.076
62100 10502.1 102583 57.4111 561.055
62200 10602.4 103652 57.5095 562.086
62300 10687 104543 57.6111 563.152
62400 10879.6 106433 57.7183 564.275
62500 10997.8 107602 57.8324 565.464
62600 11089.6 108526 57.9491 566.679
62700 11276.9 110364 58.0718 567.953
