#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  11300      2.89e+00    2.58e+00      1.69e-02    1.43e-02      9.59e-02    8.56e-02    9.0e-04
  11400      4.14e+00    4.81e+00      1.82e-01    1.79e-01      1.16e-01    1.42e-01    9.0e-04
  11500      2.63e+00    2.66e+00      1.95e-02    1.73e-02      8.73e-02    8.81e-02    9.0e-04
  11600      3.18e+00    2.76e+00      8.68e-04    6.34e-03      1.06e-01    9.17e-02    9.0e-04
  11700      2.70e+00    2.68e+00      1.91e-02    1.49e-02      8.96e-02    8.91e-02    9.0e-04
  11800      5.05e+00    4.81e+00      1.65e-01    1.60e-01      1.54e-01    1.46e-01    9.0e-04
  11900      3.29e+00    3.47e+00      3.25e-02    3.79e-02      1.09e-01    1.14e-01    9.0e-04
  12000      2.81e+00    3.11e+00      6.00e-03    1.15e-03      9.34e-02    1.04e-01    9.0e-04
  12100      2.86e+00    2.85e+00      7.71e-02    8.08e-02      8.96e-02    8.87e-02    9.0e-04
  12200      2.49e+00    2.74e+00      2.77e-03    3.39e-03      8.29e-02    9.11e-02    9.0e-04
  12300      2.86e+00    3.68e+00      2.39e-02    2.76e-02      9.46e-02    1.22e-01    9.0e-04
  12400      2.62e+00    3.02e+00      1.51e-02    1.56e-02      8.71e-02    1.00e-01    9.0e-04
  12500      7.19e+01    5.67e+01      2.13e-01    1.76e-01      2.39e+00    1.88e+00    9.0e-04
  12600      1.72e+01    1.60e+01      6.93e-02    5.90e-02      5.70e-01    5.33e-01    9.0e-04
  12700      1.09e+01    9.35e+00      5.74e-02    7.11e-02      3.62e-01    3.10e-01    9.0e-04
  12800      1.25e+01    1.23e+01      4.31e-01    4.31e-01      3.75e-01    3.67e-01    9.0e-04
  12900      7.40e+00    9.46e+00      2.29e-02    2.43e-02      2.46e-01    3.15e-01    9.0e-04
  13000      8.65e+00    8.97e+00      2.38e-01    2.46e-01      2.71e-01    2.81e-01    9.0e-04
  13100      9.16e+00    8.59e+00      3.95e-03    2.01e-03      3.05e-01    2.86e-01    9.0e-04
  13200      6.99e+00    6.78e+00      1.61e-02    3.40e-02      2.33e-01    2.25e-01    9.0e-04
  13300      6.44e+00    7.30e+00      9.54e-02    9.78e-02      2.11e-01    2.40e-01    9.0e-04
  13400      6.43e+00    6.44e+00      3.54e-02    3.91e-02      2.14e-01    2.14e-01    9.0e-04
  13500      6.24e+00    6.51e+00      3.97e-02    4.45e-02      2.07e-01    2.16e-01    9.0e-04
  13600      6.30e+00    5.83e+00      2.54e-02    3.04e-02      2.09e-01    1.94e-01    9.0e-04
  13700      5.83e+00    5.90e+00      2.78e-02    2.97e-02      1.94e-01    1.96e-01    9.0e-04
  13800      6.56e+00    6.65e+00      6.83e-02    6.95e-02      2.16e-01    2.19e-01    9.0e-04
  13900      7.11e+00    6.99e+00      1.36e-01    1.32e-01      2.30e-01    2.26e-01    9.0e-04
  14000      5.99e+00    6.54e+00      3.61e-02    3.69e-02      1.99e-01    2.17e-01    9.0e-04
  14100      6.01e+00    6.05e+00      3.99e-02    3.87e-02      1.99e-01    2.01e-01    9.0e-04
  14200      7.33e+00    6.88e+00      2.24e-02    1.87e-02      2.44e-01    2.29e-01    9.0e-04
  14300      5.13e+00    6.49e+00      4.89e-02    5.26e-02      1.70e-01    2.15e-01    9.0e-04
  14400      5.63e+00    6.41e+00      1.37e-01    1.33e-01      1.79e-01    2.06e-01    9.0e-04
  14500      9.23e+00    6.94e+00      6.60e-02    7.24e-02      3.06e-01    2.29e-01    9.0e-04
  14600      8.98e+00    6.30e+00      4.61e-02    3.94e-02      2.98e-01    2.09e-01    9.0e-04
  14700      9.03e+00    5.39e+00      1.29e-02    1.32e-02      3.01e-01    1.79e-01    9.0e-04
  14800      6.30e+00    6.38e+00      4.21e-02    4.52e-02      2.09e-01    2.12e-01    9.0e-04
  14900      6.58e+00    6.29e+00      8.13e-02    7.29e-02      2.17e-01    2.07e-01    9.0e-04
  15000      5.92e+00    6.26e+00      7.34e-02    7.54e-02      1.99e-01    2.10e-01    8.6e-04
  15100      7.95e+00    8.24e+00      2.57e-01    2.65e-01      2.38e-01    2.47e-01    8.6e-04
  15200      6.07e+00    5.67e+00      1.53e-02    2.07e-02      2.07e-01    1.93e-01    8.6e-04
  15300      8.23e+00    6.30e+00      5.14e-02    4.37e-02      2.80e-01    2.14e-01    8.6e-04
  15400      6.23e+00    4.26e+00      2.05e-02    2.72e-02      2.13e-01    1.45e-01    8.6e-04
  15500      4.91e+00    6.71e+00      2.51e-02    2.12e-02      1.67e-01    2.29e-01    8.6e-04
  15600      6.38e+00    5.61e+00      4.09e-02    3.47e-02      2.17e-01    1.91e-01    8.6e-04
  15700      7.17e+00    5.84e+00      4.49e-02    5.59e-02      2.44e-01    1.98e-01    8.6e-04
  15800      5.58e+00    5.53e+00      1.55e-02    2.61e-03      1.90e-01    1.89e-01    8.6e-04
  15900      7.55e+00    7.08e+00      1.57e-01    1.38e-01      2.45e-01    2.31e-01    8.6e-04
  16000      5.60e+00    5.12e+00      4.00e-02    3.78e-02      1.90e-01    1.74e-01    8.6e-04
  16100      5.34e+00    6.42e+00      7.31e-03    6.13e-03      1.82e-01    2.19e-01    8.6e-04
  16200      5.13e+00    5.86e+00      5.32e-04    4.09e-03      1.75e-01    2.00e-01    8.6e-04
  16300      5.04e+00    5.48e+00      2.56e-03    3.05e-05      1.72e-01    1.87e-01    8.6e-04
  16400      5.19e+00    4.96e+00      2.18e-02    2.35e-02      1.77e-01    1.69e-01    8.6e-04
  16500      6.53e+00    5.40e+00      9.19e-02    7.85e-02      2.18e-01    1.80e-01    8.6e-04
  16600      5.73e+00    5.45e+00      2.68e-02    2.99e-02      1.95e-01    1.86e-01    8.6e-04
  16700      5.09e+00    5.34e+00      8.62e-03    9.66e-03      1.74e-01    1.82e-01    8.6e-04
  16800      5.01e+00    4.94e+00      6.76e-02    6.86e-02      1.68e-01    1.65e-01    8.6e-04
  16900      6.91e+00    5.71e+00      7.18e-04    4.98e-03      2.36e-01    1.95e-01    8.6e-04
  17000      5.55e+00    4.70e+00      4.01e-03    9.02e-03      1.90e-01    1.60e-01    8.6e-04
  17100      5.64e+00    5.26e+00      6.45e-03    4.52e-03      1.93e-01    1.80e-01    8.6e-04
  17200      5.55e+00    4.76e+00      2.39e-02    2.89e-02      1.89e-01    1.62e-01    8.6e-04
  17300      5.52e+00    6.92e+00      2.86e-02    3.65e-02      1.88e-01    2.36e-01    8.6e-04
  17400      5.58e+00    3.99e+00      1.40e-02    1.64e-02      1.91e-01    1.36e-01    8.6e-04
  17500      5.36e+00    4.74e+00      3.42e-02    2.48e-02      1.82e-01    1.62e-01    8.6e-04
  17600      5.28e+00    4.84e+00      8.53e-02    8.60e-02      1.75e-01    1.59e-01    8.6e-04
  17700      5.45e+00    5.29e+00      9.66e-03    1.66e-02      1.86e-01    1.80e-01    8.6e-04
  17800      6.41e+00    5.33e+00      4.16e-04    3.29e-03      2.19e-01    1.82e-01    8.6e-04
  17900      7.17e+00    6.90e+00      1.18e-01    1.09e-01      2.37e-01    2.29e-01    8.6e-04
  18000      5.09e+00    7.56e+00      5.84e-03    5.06e-03      1.74e-01    2.58e-01    8.6e-04
  18100      4.34e+00    4.97e+00      7.89e-03    2.69e-03      1.48e-01    1.70e-01    8.6e-04
  18200      4.92e+00    5.62e+00      2.09e-03    5.45e-03      1.68e-01    1.92e-01    8.6e-04
  18300      5.16e+00    4.52e+00      4.34e-02    4.70e-02      1.75e-01    1.52e-01    8.6e-04
  18400      6.12e+00    5.09e+00      3.23e-04    4.85e-03      2.09e-01    1.74e-01    8.6e-04
  18500      5.42e+00    5.54e+00      1.32e-02    1.44e-02      1.85e-01    1.89e-01    8.6e-04
  18600      5.27e+00    4.26e+00      9.95e-03    6.20e-03      1.80e-01    1.46e-01    8.6e-04
  18700      5.06e+00    4.47e+00      8.04e-03    1.24e-02      1.73e-01    1.52e-01    8.6e-04
  18800      7.68e+00    9.17e+00      1.79e-02    6.09e-03      2.62e-01    3.13e-01    8.6e-04
  18900      5.14e+00    5.87e+00      3.34e-02    3.19e-02      1.75e-01    2.00e-01    8.6e-04
  19000      4.36e+00    5.04e+00      5.13e-02    6.08e-02      1.46e-01    1.69e-01    8.6e-04
  19100      7.03e+00    4.45e+00      5.53e-03    1.05e-02      2.40e-01    1.52e-01    8.6e-04
  19200      4.60e+00    5.77e+00      2.42e-02    1.53e-02      1.57e-01    1.97e-01    8.6e-04
  19300      1.10e+01    4.30e+00      2.18e-02    2.45e-02      3.76e-01    1.46e-01    8.6e-04
  19400      5.42e+00    5.16e+00      3.66e-02    3.94e-02      1.84e-01    1.75e-01    8.6e-04
  19500      4.95e+00    5.52e+00      7.20e-03    1.14e-03      1.69e-01    1.89e-01    8.6e-04
  19600      4.54e+00    5.39e+00      1.07e-02    5.32e-03      1.55e-01    1.84e-01    8.6e-04
  19700      4.10e+00    4.08e+00      1.56e-02    1.46e-02      1.40e-01    1.39e-01    8.6e-04
  19800      4.68e+00    4.61e+00      2.16e-02    3.11e-02      1.59e-01    1.57e-01    8.6e-04
  19900      4.29e+00    4.45e+00      1.02e-02    2.22e-03      1.46e-01    1.52e-01    8.6e-04
  20000      5.27e+00    5.36e+00      1.89e-02    1.89e-02      1.84e-01    1.88e-01    8.1e-04
  20100      1.04e+01    9.89e+00      6.22e-02    5.21e-02      3.63e-01    3.45e-01    8.1e-04
  20200      4.14e+00    4.16e+00      4.51e-03    2.13e-03      1.45e-01    1.46e-01    8.1e-04
  20300      5.52e+00    5.07e+00      4.47e-02    4.29e-02      1.92e-01    1.76e-01    8.1e-04
  20400      4.89e+00    6.73e+00      3.01e-03    7.59e-03      1.71e-01    2.36e-01    8.1e-04
  20500      4.36e+00    4.80e+00      2.49e-02    2.22e-02      1.52e-01    1.68e-01    8.1e-04
  20600      4.73e+00    4.07e+00      1.42e-02    7.92e-03      1.65e-01    1.43e-01    8.1e-04
  20700      4.40e+00    4.95e+00      2.57e-03    5.16e-03      1.54e-01    1.73e-01    8.1e-04
  20800      4.80e+00    4.70e+00      1.92e-02    1.68e-02      1.68e-01    1.64e-01    8.1e-04
  20900      4.23e+00    4.71e+00      1.01e-02    1.32e-02      1.48e-01    1.65e-01    8.1e-04
  21000      5.37e+00    4.41e+00      2.93e-02    3.22e-02      1.87e-01    1.53e-01    8.1e-04
  21100      4.26e+00    7.20e+00      2.74e-02    2.36e-02      1.48e-01    2.52e-01    8.1e-04
  21200      3.74e+00    4.63e+00      2.42e-02    2.69e-02      1.30e-01    1.61e-01    8.1e-04
  21300      4.24e+00    4.60e+00      4.32e-02    5.02e-02      1.46e-01    1.59e-01    8.1e-04
  21400      5.37e+00    4.59e+00      9.39e-03    1.72e-02      1.88e-01    1.61e-01    8.1e-04
  21500      4.13e+00    4.32e+00      1.06e-02    1.27e-02      1.45e-01    1.51e-01    8.1e-04
  21600      4.19e+00    3.88e+00      7.85e-03    1.45e-02      1.47e-01    1.36e-01    8.1e-04
  21700      4.65e+00    5.26e+00      1.06e-02    1.10e-02      1.63e-01    1.84e-01    8.1e-04
  21800      4.82e+00    6.37e+00      1.01e-02    1.29e-02      1.69e-01    2.23e-01    8.1e-04
  21900      4.82e+00    6.86e+00      3.77e-02    4.11e-02      1.67e-01    2.39e-01    8.1e-04
  22000      5.94e+00    5.22e+00      1.93e-03    5.08e-04      2.08e-01    1.83e-01    8.1e-04
  22100      3.88e+00    4.68e+00      1.55e-02    1.49e-02      1.35e-01    1.64e-01    8.1e-04
  22200      3.90e+00    4.05e+00      2.42e-02    1.32e-02      1.36e-01    1.42e-01    8.1e-04
  22300      4.47e+00    4.90e+00      5.88e-03    2.26e-03      1.57e-01    1.72e-01    8.1e-04
  22400      5.14e+00    4.44e+00      3.70e-02    3.31e-02      1.79e-01    1.54e-01    8.1e-04
  22500      4.52e+00    3.80e+00      3.04e-02    3.59e-02      1.57e-01    1.31e-01    8.1e-04
  22600      4.20e+00    5.07e+00      4.22e-02    5.07e-02      1.45e-01    1.75e-01    8.1e-04
  22700      3.77e+00    4.08e+00      8.75e-03    1.05e-02      1.32e-01    1.43e-01    8.1e-04
  22800      4.61e+00    3.87e+00      3.47e-02    4.06e-02      1.60e-01    1.33e-01    8.1e-04
  22900      3.55e+00    3.75e+00      1.73e-02    2.06e-02      1.24e-01    1.31e-01    8.1e-04
  23000      1.82e+01    1.81e+01      5.69e-03    2.57e-03      6.39e-01    6.33e-01    8.1e-04
  23100      5.00e+00    4.89e+00      2.95e-02    2.70e-02      1.74e-01    1.71e-01    8.1e-04
  23200      7.53e+00    6.48e+00      1.83e-01    1.83e-01      2.40e-01    1.99e-01    8.1e-04
  23300      4.23e+00    4.08e+00      7.10e-04    2.81e-03      1.48e-01    1.43e-01    8.1e-04
  23400      3.81e+00    3.50e+00      1.69e-02    1.62e-02      1.33e-01    1.22e-01    8.1e-04
  23500      4.69e+00    4.10e+00      1.73e-02    1.81e-02      1.64e-01    1.43e-01    8.1e-04
  23600      4.02e+00    5.07e+00      1.26e-02    1.45e-02      1.41e-01    1.77e-01    8.1e-04
  23700      5.43e+00    5.31e+00      3.26e-03    1.15e-03      1.90e-01    1.86e-01    8.1e-04
  23800      4.30e+00    4.75e+00      2.61e-03    1.43e-03      1.51e-01    1.66e-01    8.1e-04
  23900      3.86e+00    4.67e+00      2.37e-03    1.69e-03      1.35e-01    1.64e-01    8.1e-04
  24000      3.35e+00    3.83e+00      2.96e-02    2.65e-02      1.16e-01    1.33e-01    8.1e-04
  24100      4.44e+00    4.16e+00      4.25e-03    1.19e-02      1.56e-01    1.45e-01    8.1e-04
  24200      4.60e+00    3.78e+00      2.06e-02    3.32e-02      1.61e-01    1.31e-01    8.1e-04
  24300      4.40e+00    3.91e+00      3.84e-02    3.60e-02      1.53e-01    1.35e-01    8.1e-04
  24400      2.02e+01    2.23e+01      8.81e-01    8.87e-01      4.77e-01    5.77e-01    8.1e-04
  24500      5.35e+00    5.49e+00      2.24e-03    5.94e-03      1.88e-01    1.92e-01    8.1e-04
  24600      3.85e+00    3.48e+00      1.24e-02    1.28e-02      1.35e-01    1.22e-01    8.1e-04
  24700      4.24e+00    4.91e+00      7.62e-03    1.08e-02      1.49e-01    1.72e-01    8.1e-04
  24800      4.38e+00    4.65e+00      2.52e-02    2.12e-02      1.53e-01    1.62e-01    8.1e-04
  24900      5.86e+00    3.83e+00      6.57e-03    1.79e-02      2.05e-01    1.34e-01    8.1e-04
  25000      4.58e+00    5.10e+00      3.24e-02    4.15e-02      1.63e-01    1.81e-01    7.7e-04
  25100      3.10e+00    3.63e+00      1.71e-02    1.09e-02      1.11e-01    1.30e-01    7.7e-04
  25200      3.42e+00    4.85e+00      2.24e-02    2.51e-02      1.22e-01    1.74e-01    7.7e-04
  25300      4.19e+00    6.92e+00      1.38e-02    1.88e-02      1.50e-01    2.49e-01    7.7e-04
  25400      4.10e+00    4.20e+00      2.48e-02    3.27e-02      1.46e-01    1.49e-01    7.7e-04
  25500      4.04e+00    3.99e+00      2.44e-03    8.60e-03      1.45e-01    1.43e-01    7.7e-04
  25600      4.27e+00    4.95e+00      3.23e-03    3.05e-03      1.54e-01    1.78e-01    7.7e-04
  25700      6.83e+00    4.37e+00      1.48e-02    5.35e-03      2.45e-01    1.57e-01    7.7e-04
  25800      4.95e+00    4.83e+00      5.90e-03    8.37e-03      1.78e-01    1.73e-01    7.7e-04
